scenario_id,plan_id,year,entity,metric,value,unit
MANDATORY_STRESS,base-v1,2035,D,price_mln_per_t,3.0,t
MANDATORY_STRESS,base-v1,2035,D,base_price_mln_per_t,3.0,t
MANDATORY_STRESS,base-v1,2035,D,variable_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,D,reservation_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,D,total_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,E,available,1,bool
MANDATORY_STRESS,base-v1,2035,E,available_months,12,months
MANDATORY_STRESS,base-v1,2035,E,capacity_t,80.0,t
MANDATORY_STRESS,base-v1,2035,E,capacity_available_t,80.0,t
MANDATORY_STRESS,base-v1,2035,E,reserved_capacity_t,0.0,t
MANDATORY_STRESS,base-v1,2035,E,ordered_t,0.0,t
MANDATORY_STRESS,base-v1,2035,E,delivered_plan_t,0.0,t
MANDATORY_STRESS,base-v1,2035,E,delivered_actual_t,0.0,t
MANDATORY_STRESS,base-v1,2035,E,delivery_share,1.0,share
MANDATORY_STRESS,base-v1,2035,E,payable_volume_t,0.0,t
MANDATORY_STRESS,base-v1,2035,E,take_or_pay_topup_t,0.0,t
MANDATORY_STRESS,base-v1,2035,E,price_mln_per_t,13.8,t
MANDATORY_STRESS,base-v1,2035,E,base_price_mln_per_t,13.8,t
MANDATORY_STRESS,base-v1,2035,E,variable_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,E,reservation_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,E,total_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,E,reliability,0.995,share
MANDATORY_STRESS,base-v1,2036,A,available,1,bool
MANDATORY_STRESS,base-v1,2036,A,available_months,12,months
MANDATORY_STRESS,base-v1,2036,A,capacity_t,190.0,t
MANDATORY_STRESS,base-v1,2036,A,capacity_available_t,190.0,t
MANDATORY_STRESS,base-v1,2036,A,reserved_capacity_t,150.0,t
MANDATORY_STRESS,base-v1,2036,A,ordered_t,140.0,t
MANDATORY_STRESS,base-v1,2036,A,delivered_plan_t,140.0,t
MANDATORY_STRESS,base-v1,2036,A,delivered_actual_t,140.0,t
MANDATORY_STRESS,base-v1,2036,A,delivery_share,1.0,share
MANDATORY_STRESS,base-v1,2036,A,payable_volume_t,140.0,t
MANDATORY_STRESS,base-v1,2036,A,take_or_pay_topup_t,0.0,t
MANDATORY_STRESS,base-v1,2036,A,price_mln_per_t,6.2,t
MANDATORY_STRESS,base-v1,2036,A,base_price_mln_per_t,6.2,t
MANDATORY_STRESS,base-v1,2036,A,variable_payment_mln,868.0,mln
MANDATORY_STRESS,base-v1,2036,A,reservation_payment_mln,67.5,mln
MANDATORY_STRESS,base-v1,2036,A,total_payment_mln,935.5,mln
MANDATORY_STRESS,base-v1,2036,A,reliability,0.96,share
MANDATORY_STRESS,base-v1,2036,B,available,1,bool
MANDATORY_STRESS,base-v1,2036,B,available_months,12,months
MANDATORY_STRESS,base-v1,2036,B,capacity_t,110.0,t
MANDATORY_STRESS,base-v1,2036,B,capacity_available_t,110.0,t
MANDATORY_STRESS,base-v1,2036,B,reserved_capacity_t,30.0,t
MANDATORY_STRESS,base-v1,2036,B,ordered_t,20.0,t
MANDATORY_STRESS,base-v1,2036,B,delivered_plan_t,20.0,t
MANDATORY_STRESS,base-v1,2036,B,delivered_actual_t,20.0,t
MANDATORY_STRESS,base-v1,2036,B,delivery_share,1.0,share
MANDATORY_STRESS,base-v1,2036,B,payable_volume_t,20.0,t
MANDATORY_STRESS,base-v1,2036,B,take_or_pay_topup_t,0.0,t
MANDATORY_STRESS,base-v1,2036,B,price_mln_per_t,8.9,t
MANDATORY_STRESS,base-v1,2036,B,base_price_mln_per_t,8.9,t
MANDATORY_STRESS,base-v1,2036,B,variable_payment_mln,178.0,mln
MANDATORY_STRESS,base-v1,2036,B,reservation_payment_mln,4.5,mln
MANDATORY_STRESS,base-v1,2036,B,total_payment_mln,182.5,mln
MANDATORY_STRESS,base-v1,2036,B,reliability,0.985,share
MANDATORY_STRESS,base-v1,2036,C,available,0,bool
